feature,importance
lon,12.500217417282618
residential_complex,11.681233852472687
lat,11.006114307556306
house_age,10.490541622262372
ceiling_height,10.040254554530952
city,8.249815386862151
area,6.648855716945085
total_floors,6.06447237314548
condition,5.806118779257575
description_len,4.061338409493366
house_type,2.9186603939868845
floor_ratio,2.7438018784094997
bathroom,2.4978912690156636
coordinates_found,1.9004699809600425
rooms,1.6961794857816188
floor,1.063680689490444
is_first_floor,0.32418440813801314
is_last_floor,0.3061694744090809
